Strike,Maturity,"Option
price",Delta,Vega,Delta Strike,Gamma Strike,Theta,ChangedStrike,DividendFactor,ImpVolCalibrated,VegaRef,"Option
type",logMoneyness,impliedTotalVariance,Bid,Ask,ImpVolAsk,ImpVolBid,locvol,logMaturity,"Implied
vol."
2770,0.063,16.55,-0.219101911,212.018396,0.364371437,0.001256452,763.5554737,2766.261696,0.999822855,0.177300119,244.803972,2,-0.033160435,0.001938205,16.2,16.9,0.178937104,0.175654704,1,-2.764620553,0.177300119
2780,0.063,18.3,-0.240145215,223.1985769,0.402063718,0.001503491,792.4992578,2776.2482,0.999822855,0.174096128,252.3858474,2,-0.029556828,0.00186596,18,18.6,0.175430988,0.172756573,1,-2.764620553,0.174096128
2790,0.063,20.15,-0.26256586,233.986221,0.442763431,0.001790047,813.8798265,2786.234704,0.999822855,0.170517031,259.3219997,2,-0.02596616,0.001786589,19.8,20.5,0.172003804,0.169025476,1,-2.764620553,0.170517031
2795,0.063,21.2,-0.274793281,239.3997075,0.46526877,0.001951755,822.0804423,2791.227956,0.999822855,0.168942034,262.5302598,2,-0.024175649,0.001752801,20.8,21.6,0.17060355,0.167275195,1,-2.764620553,0.168942034
2800,0.063,22.25,-0.287297602,244.6030471,0.48845517,0.002125579,827.1280244,2796.221209,0.999822855,0.167144912,265.5566453,2,-0.022388338,0.001715175,21.9,22.6,0.168569029,0.165717336,1,-2.764620553,0.167144912
2805,0.063,23.35,-0.300217675,249.6335022,0.512617098,0.002313149,828.9103379,2801.214461,0.999822855,0.165328372,268.3951717,2,-0.020604217,0.001675901,23,23.7,0.166724497,0.163929339,1,-2.764620553,0.165328372
2810,0.063,24.5,-0.313677905,254.5079216,0.538034053,0.002515748,827.1694681,2806.207713,0.999822855,0.16348276,271.0402894,2,-0.018823272,0.001637083,24.1,24.9,0.165048437,0.161913927,1,-2.764620553,0.16348276
2815,0.063,25.7,-0.327690281,259.1927267,0.564766531,0.002734442,821.3328484,2811.200965,0.999822855,0.161598638,273.4869012,2,-0.017045494,0.001598719,25.3,26.1,0.163136938,0.160057753,1,-2.764620553,0.161598638
2825,0.063,28.35,-0.357490093,267.866056,0.622598896,0.003223836,794.8393456,2821.187469,0.999822855,0.158050234,277.7665748,2,-0.013499391,0.001525316,27.9,28.8,0.159726385,0.156372028,1,-2.764620553,0.158050234
2830,0.063,29.75,-0.373136412,271.7327136,0.6534877,0.003498547,772.366449,2826.180722,0.999822855,0.156172914,279.5918383,2,-0.011731044,0.001486356,29.3,30.2,0.157825981,0.154518285,1,-2.764620553,0.156172914
